No,AC_YEAR,ENT_NAME,T_GI,T_PAY_ETC,T_JESU,T_OVERTIME_PAY,T_SU,T_EVALUATION,T_SANG,T_PAY_SUM,T_STAFF,T_WYEAR_WMONTH,T_ONE_AVE_PAY,T_AVGPAY_M,T_AVGPAY_W
99,2024,동해시시설관리공단,3708259,608250,368076,348036,667757,0,0,5700378,156,0년 98개월,36541,42558,30365
100,2024,속초시시설관리공단,6246859,1605633,2929025,1731117,159394,194431,0,12866459,235,0년 115개월,54751,61057,41810
101,2024,연천군시설관리공단,3874884,1015921,1584219,164348,615581,438862,0,7693815,152.33000000000001,0년 69개월,50508,54769,44125
102,2024,가평군시설관리공단,4942004,363329,211533,789951,297932,297932,0,6902681,158,0년 79개월,43688,45972,35706
103,2024,안성시시설관리공단,9414601,2677410,959878,1482723,464588,950882,0,15950082,290,0년 115개월,55000,58033,46694
104,2024,시흥도시공사,11684767,2620558,1975569,2032128,2323771,1199743,0,21836536,414.16000000000003,0년 85개월,52725,54096,47905
105,2024,부천도시공사,11240952,2466529,2100479,2230120,1774544,1114546,0,20927170,356,0년 147개월,58784,54574,49730
106,2024,수원도시공사,17031310,2966526,3164060,4304204,2040188,1518646,0,31024934,566,0년 135개월,54814,54344,47127
107,2024,울산시설공단,13871978,1447265,1258692,2209635,1217021,1197473,0,21202064,373.38999999999999,0년 154개월,56783,62317,44602
108,2024,대전광역시시설관리공단,18876214,2125689,2205796,2363907,1481382,1628116,0,28681104,488.82999999999998,0년 130개월,58673,62381,48703
109,2024,인천광역시서구시설관리공단,14059866,1854825,942852,1751619,1534941,1189639,0,21333742,444.92000000000002,0년 96개월,47950,52453,45622
